Categorie annonce;Titre;Lieu;Prix;Chambres;Date brute;Date estimee;Type logement;Standing;Prix numerique;Chambres numeriques;Date NLP;Jours depuis publication;Annee publication;Mois publication;Jour publication;Quartier nettoye;Latitude;Longitude
Appartement;PENTHOUSE F5 A LOUER A NGOR;Ngor;1 500 000 F Cfa;4 chambre;9. févr., 15:23;2026-02-09;Penthouse;Luxe;1500000;4.0;2026-02-09;45;2026;2;9;Ngor;14.7487915;-17.5149607
Appartement;Appartement meublés à louer Almadies 2 Lebougui 2000;Keur Massar;40 000 F Cfa;;9. févr., 14:36;2026-02-09;Appartement;Meuble;40000;;2026-02-09;45;2026;2;9;Keur Massar;14.7822567;-17.311199
Appartement;Appartement F4 à louer à Mermoz;Mermoz;1 100 000 F Cfa;3 chambre;2. févr., 13:51;2026-02-02;F4;Standard;1100000;3.0;2026-02-02;52;2026;2;2;Mermoz;14.7074454;-17.474397
Appartement;Appartement spacieux à Keur Massar;Keur Massar;210 000 F Cfa;3 chambre;9. févr., 13:38;2026-02-09;Appartement;Standard;210000;3.0;2026-02-09;45;2026;2;9;Keur Massar;14.7822567;-17.311199
Appartement;Appartement spacieux à Liberté 6 (cité aliou sow);Liberte 6;300 000 F Cfa;2 chambre;9. févr., 13:30;2026-02-09;Appartement;Standard;300000;2.0;2026-02-09;45;2026;2;9;Liberte 6;14.7310352;-17.4610459
Appartement;Appartement spacieux à Sacré Coeur 3;Sacré-cœur;400 000 F Cfa;;9. févr., 13:28;2026-02-09;Appartement;Standard;400000;;2026-02-09;45;2026;2;9;Sacré-Cœur;14.7114619;-17.4688689
Appartement;Appartement moderne aux Parcelles Assainies (unité 15);Parcelles Assainies;240 000 F Cfa;2 chambre;9. févr., 13:28;2026-02-09;Appartement;Standard;240000;2.0;2026-02-09;45;2026;2;9;Parcelles Assainies;14.7594072;-17.4384546
Appartement;Appartement Haut Standing à louer à Mermoz;Mermoz;900 000 F Cfa;3 chambre;9. févr., 13:27;2026-02-09;Appartement;Luxe;900000;3.0;2026-02-09;45;2026;2;9;Mermoz;14.7074454;-17.474397
Appartement;Appartement spacieux aux Mamelles;Mamelles;330 000 F Cfa;2 chambre;9. févr., 13:25;2026-02-09;Appartement;Standard;330000;2.0;2026-02-09;45;2026;2;9;Mamelles;14.7311563;-17.5003005
Appartement;Appartement F3 à louer;Amitié;350 000 F Cfa;2 chambre;9. févr., 12:22;2026-02-09;F3;Standard;350000;2.0;2026-02-09;45;2026;2;9;Amitie;14.7030079;-17.4586932
Appartement;Magnifique appartement au Mamel;Mamelles;350 000 F Cfa;2 chambre;9. févr., 12:10;2026-02-09;Appartement;Standard;350000;2.0;2026-02-09;45;2026;2;9;Mamelles;14.7311563;-17.5003005
Appartement;Appartement F4 à Mermoz : Très lumineux;Mermoz;800 000 F Cfa;3 chambre;9. févr., 11:47;2026-02-09;F4;Standard;800000;3.0;2026-02-09;45;2026;2;9;Mermoz;14.7074454;-17.474397
Appartement;Apparemment F4 à louer;Almadies;1 600 000 F Cfa;3 chambre;9. févr., 10:46;2026-02-09;F4;Standard;1600000;3.0;2026-02-09;45;2026;2;9;Almadies;14.7441857;-17.5175251
Appartement;Appartement à louer Sacré Cœur 3;Sacré-cœur;325 000 F Cfa;2 chambre;9. févr., 09:28;2026-02-09;Appartement;Standard;325000;2.0;2026-02-09;45;2026;2;9;Sacré-Cœur;14.7114619;-17.4688689
Appartement;Appartement à louer;Amitié;250 000 F Cfa;1 chambre;8. févr., 21:50;2026-02-08;Appartement;Standard;250000;1.0;2026-02-08;46;2026;2;8;Amitie;14.7030079;-17.4586932
Appartement;Appartement F4 à louer à Mermoz Résidence LOBOS;Mermoz;1 500 000 F Cfa;3 chambre;8. févr., 21:33;2026-02-08;F4;Standard;1500000;3.0;2026-02-08;46;2026;2;8;Mermoz;14.7074454;-17.474397
Appartement;Duplex à louer à Toubab Dialaw;Toubab dialo;600 000 F Cfa;;10. févr., 09:02;2026-02-10;Duplex;Standard;600000;;2026-02-10;44;2026;2;10;Toubab Dialo;;
Appartement;F4 À LOUER;Liberte 6;350 000 F Cfa;3 chambre;8. févr., 09:42;2026-02-08;F4;Standard;350000;3.0;2026-02-08;46;2026;2;8;Liberte 6;14.7310352;-17.4610459
Appartement;Studios et apparts à Liberté 6 Extension;Liberte 6 extension;300 000 F Cfa;3 chambre;8. févr., 00:41;2026-02-08;Studio;Standard;300000;3.0;2026-02-08;46;2026;2;8;Liberte 6 Extension;14.7334942;-17.4671607
Appartement;Appartement F3 à louer Maristes Dalifort;Hann maristes;250 000 F Cfa;2 chambre;7. févr., 23:01;2026-02-07;F3;Standard;250000;2.0;2026-02-07;47;2026;2;7;Hann Maristes;14.7302558;-17.432528
Appartement;Appartement spacieux;Ouest foire;350 000 F Cfa;3 chambre;7. févr., 18:50;2026-02-07;Appartement;Standard;350000;3.0;2026-02-07;47;2026;2;7;Ouest Foire;14.7493864;-17.4702084
Appartement;F3 A LOUER;Liberte 6;350 000 F Cfa;3 chambre;7. févr., 16:11;2026-02-07;F3;Standard;350000;3.0;2026-02-07;47;2026;2;7;Liberte 6;14.7310352;-17.4610459
Appartement;Appartement à louer aux almadies;Almadies;1 500 000 F Cfa;3 chambre;7. févr., 15:39;2026-02-07;Appartement;Standard;1500000;3.0;2026-02-07;47;2026;2;7;Almadies;14.7441857;-17.5175251
Appartement;Studio chic à louer Hann Maristes;Hann Bel-Air;200 000 F Cfa;1 chambre;7. févr., 11:54;2026-02-07;Studio;Standard;200000;1.0;2026-02-07;47;2026;2;7;Hann Bel-Air;14.7156355;-17.4355632
Appartement;Appartement semi-équipé au point E;Point-e;900 000 F Cfa;3 chambre;7. févr., 08:29;2026-02-07;Appartement;Meuble;900000;3.0;2026-02-07;47;2026;2;7;Point E;14.6964782;-17.4641817
Appartement;F4 neuf à louer au plateau;Plateau;1 500 000 F Cfa;3 chambre;6. févr., 22:00;2026-02-06;F4;Standard;1500000;3.0;2026-02-06;48;2026;2;6;Plateau;14.6768175;-17.4392915
Appartement;Appartements F4 et F5 tout neufs à louer au Point E;Point-e;600 000 F Cfa;3 chambre;6. févr., 18:58;2026-02-06;F4;Standard;600000;3.0;2026-02-06;48;2026;2;6;Point E;14.6964782;-17.4641817
Appartement;Appartement F3 à louer à Fass;Fass;325 000 F Cfa;2 chambre;6. févr., 18:51;2026-02-06;F3;Standard;325000;2.0;2026-02-06;48;2026;2;6;Fass;14.6882763;-17.4553657
Appartement;A loué un apartuman 1etage non loin de la brioche Dorée;Ouakam;300 000 F Cfa;2 chambre;6. févr., 16:49;2026-02-06;Appartement;Standard;300000;2.0;2026-02-06;48;2026;2;6;Ouakam;14.7247367;-17.4850662
Appartement;Appartement de haut standing à louer à Yoff;Yoff;250 000 F Cfa;;20. févr., 17:26;2026-02-20;Appartement;Luxe;250000;;2026-02-20;34;2026;2;20;Yoff;14.7603583;-17.468149
Appartement;Bel appartement a louer a Cité Keur Gorgui;Cité keur gorgui;350 000 F Cfa;2 chambre;6. févr., 15:36;2026-02-06;Appartement;Standard;350000;2.0;2026-02-06;48;2026;2;6;Cite Keur Gorgui;14.7116889;-17.4687165
Appartement;Appt haut standing à la louer;Almadies;500 000 F Cfa;2 chambre;6. févr., 12:24;2026-02-06;Appartement;Luxe;500000;2.0;2026-02-06;48;2026;2;6;Almadies;14.7441857;-17.5175251
Appartement;Appartement F3 au bord de la mer à Sendou;Sendou;550 000 F Cfa;2 chambre;6. févr., 11:20;2026-02-06;F3;Standard;550000;2.0;2026-02-06;48;2026;2;6;Sendou;14.6707164;-17.2045897
Appartement;Magnifique f5 à louer au point E;Point-e;750 000 F Cfa;4 chambre;6. févr., 10:52;2026-02-06;F5;Standard;750000;4.0;2026-02-06;48;2026;2;6;Point E;14.6964782;-17.4641817
Appartement;Fan résidence appartement à louer vue sur mer;Fann;2 300 000 F Cfa;3 chambre;6. févr., 10:14;2026-02-06;Appartement;Standard;2300000;3.0;2026-02-06;48;2026;2;6;Fann;14.690791;-17.4665592
Appartement;Studio meublé à Liberté 6 arrêt BRT;Dakar;18 500 F Cfa;1 chambre;6. févr., 08:30;2026-02-06;Studio;Meuble;18500;1.0;2026-02-06;48;2026;2;6;Dakar;14.693425;-17.447938
Appartement;Luxueux appartement F4 à louer à la cité Biagui Yoff virage;Yoff;325 000 F Cfa;3 chambre;5. févr., 22:05;2026-02-05;F4;Luxe;325000;3.0;2026-02-05;49;2026;2;5;Yoff;14.7603583;-17.468149
Appartement;F2 F3 et Magasin à louer à scat urbam;scat urbam;350 000 F Cfa;2 chambre;5. févr., 20:43;2026-02-05;F2;Standard;350000;2.0;2026-02-05;49;2026;2;5;Scat Urbam;14.7360686;-17.4591267
Appartement;Immeuble R+2 à louer Grand Mbao Cité Sidak;Mbao;500 000 F Cfa;5 chambre;5. févr., 17:06;2026-02-05;Immeuble;Meuble;500000;5.0;2026-02-05;49;2026;2;5;Mbao;14.7394106;-17.3177885
Appartement;duplex f5 à louer ngor avec jardin;Ngor;1 400 000 F Cfa;4 chambre;5. févr., 11:55;2026-02-05;F5;Standard;1400000;4.0;2026-02-05;49;2026;2;5;Ngor;14.7487915;-17.5149607
Appartement;Point E 4 chambres à louer tous neufs 300 mètres;Point-e;1 800 000 F Cfa;4 chambre;5. févr., 11:22;2026-02-05;Chambre;Standard;1800000;4.0;2026-02-05;49;2026;2;5;Point E;14.6964782;-17.4641817
